id,name,address,city,state,zip,lat,lng,region,type,sheets,sharpening,food,livebarn,wifi,parking,locker_rooms,on_site_shops,price_public_skate,price_stick_puck,price_dropin,registration_label,registration_url,website,seating_type,viewing,accessible,spectator_notes,facebook_url,instagram_url,tiktok_url,photo_url,claimed,phone,email,skate_rentals,year_round,notes
11,Ice Ranch,"841 Southpark Dr, Littleton, CO 80120",Littleton,CO,80120,39.5679,-104.99893,Denver Metro,Indoor,2,TRUE,restaurant,TRUE,,Free surface lot. Handicap parking available. Elevator to upper level.,8,TRUE,~$7/person | Check theiceranch.com for current rates,Check website - Twisted Wrister sessions,,,,https://www.theiceranch.com,,TRUE,,"Santoro's Bar & Grill: Full sports bar & restaurant upstairs. Pizza, appetizers, full bar. Starbucks also on-site.",,,,,,,,,TRUE,"Colorado's premier ice facility per their website. Two NHL rinks, Santoro's restaurant/sports bar, Starbucks, Precision Edge Pro Shop all on-site. Home to Littleton Hawks, Regis Jesuit, Mountain Vista HS, Valor Christian HS, Cherry Creek. Also hosts 3v3 tournaments and adult leagues. | On-site shop: Precision Edge Hockey Pro Shop"
12,South Suburban Sports Complex,"4810 E County Line Rd, Littleton, CO 80126",Littleton,CO,80126,39.56541,-104.92663,Denver Metro,Indoor,3,,restaurant,TRUE,,Free surface lot,15,,Starting at $7 district residents / $9 non-residents (children 3 and under free) | Check ssprd.org for full age-based rates,Res. $11 / Non-res. $13 | Call (303) 798-7515,,Book Online,https://ssprd.finnlyconnect.com/schedule/247,https://www.ssprd.org/Sports-Complex,,TRUE,,On-site Restaurant & Bar: Full restaurant and bar with views of the ice. Open during all sessions.,,,,,,,,,TRUE,"Replaced 52-year-old South Suburban Ice Arena. Three sheets: center sheet seats 800, second sheet 220, third sheet also available. Restaurant/bar with ice views. Drop-in hockey (adult & youth) $10.50 res/$11.50 non-res."
13,Apex Center,"13150 W 72nd Ave, Arvada, CO 80005",Arvada,CO,80005,39.82597,-105.14545,Denver Metro,Indoor,2,,vending,TRUE,TRUE,Free surface lot,10,,Ages 2-5: Res. $2.50/Non-res. $3 | Ages 6-61: Res. $8/Non-res. $11.75 | Ages 62+: Res. $5.50/Non-res. $7.75,Check website,,Book Online,https://www.rec.us/locations/6e8fe95f-a610-4223-aebe-713e32e2e5cb?tab=book-now,https://apexprd.org/activities/ice-skating,,TRUE,,Vending Machines: Vending machines only — no staffed food counter on-site. Plan ahead or grab food nearby.,,,,,,(303) 463-4287,,,TRUE,Part of Apex Park and Recreation District. Two NHL-sized ice surfaces. Figure skating program director Denise Hughes (303.463.4287). Adult Skaters Coffee Club Wednesdays 10:30am-12pm for $5.
14,Big Bear Ice Arena,"8580 E Lowry Blvd, Denver, CO 80230",Denver,CO,80230,39.72142,-104.886,Denver Metro,Indoor,2,TRUE,concessions,TRUE,,Free lot at Lowry Town Center,4,TRUE,$14 non-members / $9 members | Check bigbearice.com for current rates,Check bigbearicearena.ezfacility.com for schedule & rates,,,,https://www.bigbearice.com,,TRUE,,,,,,,,(303) 343-1111,info@bigbearice.com.,TRUE,TRUE,"Located in a former Lowry Air Force Base aviation hangar. Two sheets. Home to the Colorado Thunderbirds (Rocky Mountain Junior Hockey League) and multiple high school hockey teams. Public skate sessions: $20/session (1-hour timed sessions), $5 skate rentals. Evening sessions Fri/Sat at 7pm and 9pm. Sessions are booked in advance at bigbearicearena.ezfacility.com - check calendar. Call (303) 343-1111 or email info@bigbearice.com. | On-site shop: Big Bear Skate Shop"
15,Joy Burns Arena (DU),"2201 E Asbury Ave / 2250 E Jewell Ave, Denver, CO 80210",Denver,CO,80210,39.68244,-104.96094,Denver Metro,Indoor,2,TRUE,concessions,,,Lot 401 (Jewell & University) for punch pass holders. Metered lots for single visits.,6,TRUE,$15/person (includes skate rental),$15/session,,,,https://ritchiecenter.du.edu/sports/2021/8/11/public-ice-schedule,seats,TRUE,,,,,,,,,,TRUE,TRUE,"Home of the University of Denver Pioneers (NCAA Division I, 9-time national champions). Public skate $15/person includes skate rental. Drop-in hockey: $15 single session. Must reserve spot online. DU students use 87-number as login. | On-site shop: DU Campus Store"
16,University of Denver - Magness Arena,"2201 E Asbury Ave, Denver, CO 80208",Denver,CO,80208,39.68212,-104.96163,Denver Metro,Indoor,1,,concessions,,,DU campus and nearby lots,6,TRUE,,,,,,https://www.magnesarena.com,seats,TRUE,,,,,,,,,,,TRUE,"Major sports arena on DU campus. Hosts DU Pioneers NCAA hockey, concerts and events. 7,200 capacity. | On-site shop: DU Campus Store"
17,Carlston Ice Arena,"2800 Dagny Way, Lafayette, CO 80026",Lafayette,CO,80026,40.01267,-105.13463,Denver Metro,Indoor,1,TRUE,,,,Free surface lot,4,,Free for YMCA members | Non-members: $5 youth / $8 adult,Check website,,,,https://www.ymcanoco.org/ice,,,,,,,,,,,,,TRUE,"Single sheet inside Lafayette Y (YMCA). Public skate free for YMCA members, $5 youth / $8 adults for non-members. Adult drop-in hockey $12 for non-members, free for members. Home of Lafayette Locomotives youth hockey."
18,University of Colorado Ice Arena,"1855 Pleasant St, Student Recreation Center, Boulder, CO 80302",Boulder,CO,80302,40.00763,-105.26689,Denver Metro,Indoor,1,,,,,CU campus parking,3,TRUE,Rec Center membership required,Check colorado.edu/recreation,,,,https://www.colorado.edu/recreation/facilities/student-recreation-center/ice-rink,,,,,,,,,,,,,TRUE,"Only ice rink in Boulder. Part of CU Boulder Student Recreation Center. Must have Rec Center membership to skate. Membership required for all users - students, staff, and community members. Drop-in hockey requires helmet with full face shield, gloves, shin guards, skates, long pants. | On-site shop: CU Skate Counter"
19,Blue Sport Stable,"1 Superior Dr, Superior, CO 80027",Superior,CO,80027,39.95224,-105.15892,Denver Metro,Indoor,3,TRUE,restaurant,TRUE,,Free large surface lot,6,TRUE,$7/session | Superior residents: $5 | Age 4 & under free with paying adult,Check website,,,,https://www.bluesportstable.com,,TRUE,,The Eatery: Full restaurant & bar on-site. High-top bar seating overlooks the courts. Coffee shop also in the building.,,,,,,(303) 494-4777,info@bluesportstable.com,,TRUE,"Formerly Sport Stable, rebranded as Blue Sport Stable. 186,000 sq ft, 1.6 million visitors/year. Two NHL-sized ice rinks + one small skill rink, turf field, 3 basketball courts (convert to 5 volleyball/12 pickleball), batting cages, 7 indoor golf simulators, coffee shop, Floyd's Barbershop, physical therapy, preschool. Home to RoughRiders Sports Club (hockey, baseball, basketball, softball, volleyball). Located in Downtown Superior off US-36. | On-site shop: Blue Sport Stable Pro Shop"
20,Blue Arena,"5290 Arena Cir, Loveland, CO 80538",Loveland,CO,80538,40.44363,-104.98947,Northern Colorado,Indoor,1,,concessions,,,Large free lot,4,TRUE,N/A - event venue,,,,,https://www.bluearena.com,seats,TRUE,,,,,,,,,,,TRUE,"7,500-seat multipurpose arena. Hosts hockey events, concerts, rodeos and more in the Loveland/Fort Collins area. | On-site shop: Arena Merchandise"
21,Edora Pool Ice Center (EPIC),"1801 Riverside Ave, Fort Collins, CO 80525",Fort Collins,CO,80525,40.56311,-105.0449,Northern Colorado,Indoor,2,,,TRUE,,Free surface lot,6,,Adults: $5 | Youth: $4 | Check fcgov.com/recreation for current rates,Check website,,Book Online,https://fcgov.recdesk.com/Community/Schedule,https://www.fcgov.com/recreation/epic.php,,,,,,,,,,,,,TRUE,"Part of Fort Collins' EPIC recreation complex with two NHL ice sheets plus pools. Home to CSU Hockey, Water Polo, Fort Collins Figure Skating Club, and FAST swim team. Over 1 million visits per year."
22,NoCo Ice Center,"7900 N Fairgrounds Ave, Fort Collins, CO 80528",Fort Collins,CO,80528,40.47469,-104.98128,Northern Colorado,Indoor,1,TRUE,snack bar,TRUE,,Free lot at Larimer County Fairgrounds,6,TRUE,$5 (ages 3+) | Check website for current rates,Check website,,,,https://www.nocohockey.com,seats,TRUE,,"NoCo Snack Bar: Pizza, kids snacks, adult beverages — order at the counter. Better than your typical rink snack bar.",,,,,,,,,TRUE,"Single sheet, 1000-seat capacity. Previously known as Providence Ice Center, managed by Northern Colorado Youth Hockey since 2007. Home to NCYH Junior Eagles. Also offers curling and adult/youth hockey leagues. Limited public hours during hockey season (Sep-Feb). | On-site shop: NoCo Pro Shop"
23,Greeley Ice Haus,"900 8th Ave, Greeley, CO 80631",Greeley,CO,80631,40.42371,-104.68994,Northern Colorado,Indoor,1,TRUE,concessions,,,Free surface lot,4,TRUE,$6/person daily admission,Check greeleyco.gov for current rates,,Book Online,https://greeleyco.gov/departments/parks-recreation/recreation-services/greeley-ice-haus,https://greeleyco.gov/things-to-do/parks-and-recreation/recreation/facilities/greeley-ice-haus,seats,TRUE,TRUE,,,,,,,,,,TRUE,"Community rink serving Greeley and Weld County. Home to Colorado Bears Hockey Club (formerly Northern Colorado Eagles), Mountain View Skating Club, and UNC Bears Club Hockey. Offers sled hockey - accessible skating for all abilities. 1000-seat capacity. | On-site shop: Ice Haus Skate Shop"
24,Aspen Ice Garden,"233 W Hyman Ave, Aspen, CO 81611",Aspen,CO,81611,39.18995,-106.82522,Mountain,Indoor,1,,,TRUE,,City lots nearby - paid parking,2,TRUE,Adults: $10.50 | Youth/Child: $7 | Skate rental from $3 | Check aspenrecreation.com for current schedule,Check website,,,,https://www.aspenrecreation.com/aspen-ice-garden,bleachers,,,,,,,,,,ryan.loeb@aspen.gov,,TRUE,Historic rink in downtown Aspen for 50+ years. 82x184 ft floor. 150 bleacher seats. Only open during programmed hours. Dry floor events available June-August. For year-round skating use Lewis Ice Arena at ARC. Contact Ryan Loeb at ryan.loeb@aspen.gov for events/rentals. | On-site shop: Aspen Ice Garden
25,Lewis Ice Arena,"0861 Maroon Creek Rd, Aspen, CO 81611",Aspen,CO,81611,39.18951,-106.85093,Mountain,Indoor,1,TRUE,concessions,TRUE,,ARC parking lot,6,TRUE,Adults: $10.50 | Youth/Child: $7 | Skate rental from $3 | Check aspenrecreation.com — Lewis open year-round,Check website,,,,https://www.aspenrecreation.com,seats,TRUE,TRUE,,,,,,,,,,TRUE,NHL regulation 85x200 ft rink. 450-seat grandstand. Full skate shop with rentals and precision sharpening. ADA accessible. Multiple locker rooms with showers. Only Aspen ice rink open during summer. Home to Aspen Junior Hockey and high school Sailors hockey team. | On-site shop: Lewis Ice Arena Skate Shop
26,Glenwood Springs Community Center Rink,"100 Wulfsohn Rd, Glenwood Springs, CO 81601",Glenwood Springs,CO,81601,39.55108,-107.33908,Mountain,Outdoor,1,,,TRUE,,Free community center lot,3,,Adult non-res: $8 | Adult res: $7 | Youth/Senior non-res: $6 | Youth/Senior res: $5 | CC Members: Free,Check glenwoodrec.com for current rates,,,,https://glenwoodrec.com/189/Ice-Rink,,,,,,,,,,(970) 384-6304,,,FALSE,"85x200 ft covered outdoor NHL-sized rink. Seasonal Nov through mid-March. Part of Glenwood Springs Community Center (65,000 sq ft facility with pool, gym, climbing wall, fitness center). Call ice rink direct at (970) 384-6304, main center (970) 384-6300."
27,River City Sportplex,"2515 Riverside Pkwy, Grand Junction, CO 81501",Grand Junction,CO,81501,39.07806,-108.58849,Western Colorado,Indoor,1,TRUE,concessions,TRUE,,Free surface lot,4,TRUE,Check rivercitysportplex.com for current rates,Check website,,,,https://www.rivercitysportplex.com,,TRUE,,,,,,,,,,,TRUE,"Reopened October 2021 under new ownership after pandemic closure. NHL-sized rink on 4-acre site along the Riverside Trail with Colorado National Monument backdrop. Offers hockey, figure skating, curling, broomball, and sled hockey programs. Home to Grand Junction River Hawks (NCDC junior hockey, joined 2025). Party room packages available for 10-40 guests. | On-site shop: River City Pro Shop"
28,Howelsen Ice Arena,"285 Howelsen Pkwy, Steamboat Springs, CO 80487",Steamboat Springs,CO,80487,40.48131,-106.83163,Mountain,Indoor,1,TRUE,concessions,TRUE,,Free lot at Howelsen Hill Complex,4,TRUE,Adults: $8 | Kids (6-17): $7 | Bumper Cars: $12/ride or $19 combo (skating + rental),$9–$10 per person depending on age,,,,https://steamboatsprings.net/132/Howelsen-Ice-Arena,,TRUE,,,,,,,,,,,TRUE,"City of Steamboat Springs-operated Olympic-sized indoor ice rink open July through May. Colorado's only rink with Bumper Cars On Ice ($12/ride or $19 combo with skating + rental). Public skate, stick & puck, drop-in hockey, figure skating classes, hockey leagues, speed skating, curling, broomball. Home to Steamboat Springs Youth Hockey Association, Sailors HS Hockey Team, and Steamboat Springs Figure Skating Club. Check Public Google Calendar on city website for daily schedule. | On-site shop: Howelsen Skate Shop"
29,Ice Centre at The Promenade,"10710 Westminster Blvd, Westminster, CO 80020",Westminster,CO,80020,39.89106,-105.06841,Denver Metro,Indoor,3,TRUE,restaurant,TRUE,,Free Promenade shopping center lot,9,TRUE,$10 adults | Kids 3 & under free with paying adult,Check icecentreatthepromenade.com for current rates,,,,https://www.icecentre.com,,TRUE,,Bender's Bar & Grill: Full sports bar & restaurant with ice views. Red City Café also on-site for coffee & smoothies.,,,,,,,,,TRUE,"143,000 sq ft, $14M facility. One of few triple-sheet facilities in North America. Total seating 1,600. Bender's Bar & Grill on-site. Home to Hyland Hills Jaguars and Rocky Mountain Figure Skating Club. Westminster/Hyland Hills discount cards accepted. | On-site shop: Ice Centre Pro Shop, Bender's Bar & Grill"
30,The Ice Box (Fraser Valley Sports Complex),"220 County Rd 522, Fraser, CO 80442",Fraser,CO,80442,39.95795,-105.82445,Mountain,Outdoor,1,,concessions,,,Free lot at Fraser Valley Sports Complex,2,,$13/person (includes skate rental) | Check fraservalleyrec.org for current rates,Contact facility,,,,https://fraservalleyrec.org/facilities/fraser-valley-sports-complex/icebox-ice-rink,,,,,,,,,,,,TRUE,,"NHL-sized partially enclosed/covered outdoor refrigerated rink at the Fraser Valley Sports Complex. Managed by Fraser Valley Metropolitan Recreation District. Features skate rentals, warming house, indoor concessions, restrooms. Strong youth hockey leagues. Fraser is known as the 'Icebox of the Nation' for its extreme cold. Also has ball fields, volleyball, soccer. Call ahead for open skating times as they are limited."
31,Jorgensen Ice Rink & Events Center,"501 E Tomichi Ave, Gunnison, CO 81230",Gunnison,CO,81230,38.54439,-106.92172,Western Colorado,Indoor,2,TRUE,concessions,TRUE,,Free adjacent lot,2,TRUE,Check gunnisonco.gov for 2025-26 season rates,Check website,,,,https://www.gunnisonco.gov/departments/parks___recreation/jorgensen_ice___event_center.php,,TRUE,,,,,,,,(970) 641-0435,,,TRUE,"Gunnison Valley's premier winter venue. Includes indoor ice facility (open late Sep–Mar), outdoor ice rink, and free Pac Man Pond for public skating daily. Also features Nordic trails and jib park. Home to West Elk Hockey Association. Indoor rink manager: Andy Eflin (970) 641-0435. Full gear recommended for open hockey; helmet & gloves required for stick & puck. | On-site shop: Concessions area"
32,Pueblo Plaza Ice Arena,"100 N Grand Ave, Pueblo, CO 81003",Pueblo,CO,81003,38.26833,-104.61083,Southern Colorado,Indoor,1,TRUE,concessions,,,Downtown Pueblo parking,4,TRUE,Check puebloicearena.com for current rates,Check website,,,,https://www.puebloicearena.com,,TRUE,,,,,,,,(719) 621-9191,puebloicearena1@gmail.com.,,TRUE,"Year-round Southern Colorado hub. Home to Pueblo Bulls Youth Hockey (PBYHA), Pueblo County HS, Pueblo Figure Skating Club, Men's/Women's/Co-ed leagues, and Pueblo Bulls NCDC junior team. Skating Academy offers 8-week sessions. Laser light skate, holiday skates, and college nights hosted regularly. Contact: 719-621-9191 or puebloicearena1@gmail.com. | On-site shop: Pueblo Plaza Shop"
33,Alamosa Ice Arena,"2242 Old Sanford Road, Alamosa, CO 81101",Alamosa,CO,81101,37.44896,-105.87404,Southern Colorado,Outdoor,1,,,,,Free lot,2,,Check website for current rates (passes available Oct 1),Contact facility,,,,https://sites.google.com/ci.alamosa.co.us/parksandrec/iceroller-rink,,,,,,,,,,,,TRUE,FALSE,"Outdoor partially covered ice rink at the Alamosa Family Recreation Center. Seasonal (Thanksgiving–Feb, weather permitting). Hockey leagues hosted here. Skate rentals available. All skating first come first served - not reservable. Ice rink passes available Oct 1. For info contact Alamosa Family Recreation Center."
34,Loudy-Simpson Park Ice Arena,"600 S Ranney St, Craig, CO 81625",Craig,CO,81625,40.49613,-107.55783,Western Colorado,Indoor,1,,,,,Free park lot,4,,$6/person per session | $3 skate rental | ⚠️ CASH OR CHECK ONLY,$7/person (Fridays 4:30-5:45pm),,,,https://moffatcounty.colorado.gov/government/departments/parks-department/loudy-simpson-park-ice-arena,bleachers,TRUE,,,,,,,,,,,TRUE,"Moffat County facility, managed by Colorado Extreme Hockey Association since September 2024. 85x125 ft ice surface (not full NHL size). Seasonal Oct–mid-March. CASH OR CHECK ONLY — no credit cards accepted. 4 dressing rooms, bleachers. Public skating, stick & puck (drop-in hockey), Craig Youth Hockey League, and curling on Fridays."
35,Evergreen Lake Ice Rinks,"29612 Upper Bear Creek Rd, Evergreen, CO 80439",Evergreen,CO,80439,39.63149,-105.33111,Denver Metro,Outdoor,11,TRUE,concessions,,,Limited - weekends use Stagecoach Park shuttle,0,TRUE,$15/person all day,Hockey rinks available,,,,https://www.evergreenrecreation.com,,TRUE,,,,,,,,,,,FALSE,World's largest Zamboni-maintained outdoor natural ice rink. 8.5 acres with 11 pond hockey rinks. Seasonal - weather dependent. | On-site shop: Evergreen Lake House
36,Keystone Lake Ice Rink,"Decatur Rd, Keystone, CO 80435",Keystone,CO,80435,39.6068,-105.9681,Mountain,Outdoor,1,,concessions,,,Keystone Resort parking,0,,Adults: $15 | Kids (5-17): $10 | Ages 4 & under: $5 | Hours: 10am-9pm daily | Check keystoneresort.com for current rates,Hockey box available on lake - free with admission,,,,https://www.keystoneresort.com,,TRUE,,,,,,,,,,,,"5-acre outdoor lake rink at Lakeside Village. Largest Zamboni-maintained outdoor rink in North America (Evergreen Lake is larger at 8.5 acres but Keystone claims largest for a resort). Hours: Daily 10am-9pm. Adjacent Adventure Center has full bar, snacks, indoor arcade. Skate assists, hockey sticks and child pull sleds available to rent. Hockey box available. Two rinks at Keystone: Lake Rink (Lakeside Village) and Dercum Square Ice Rink (River Run Village - smaller, free admission). Note: admission to Lake Rink includes all-day access."
37,Dillon Marina Outdoor Rink,"150 Marina Dr, Dillon, CO 80435",Dillon,CO,80435,39.6266,-106.042,Mountain,Outdoor,1,,,,,Free Marina parking lot,0,,FREE - open sunrise to sunset,Free drop-in hockey on the rink,,,,https://www.townofdillon.com,,,,,,,,,,,,TRUE,FALSE,FREE community ice rink on the Dillon Reservoir at Dillon Marina. Open sunrise to sundown. 136 ft x 70 ft natural ice with stunning views of Lake Dillon and Tenmile/Gore Ranges. Night lighting until 9pm. NO skate rentals on-site - bring your own. Drop-in hockey and broomball organized seasonally. NOTE: The Lake Loops trails on the reservoir did not open in 2025-26 season due to late freeze. Check townofdillon.com for current season status.
38,Eagle Ice Rink,"1700 Bull Pasture Rd, Eagle, CO 81631",Eagle,CO,81631,39.64313,-106.81533,Mountain,Outdoor,1,,,TRUE,,Free lot,0,,$6 adults / $4 kids,,,,,https://www.eaglerecreation.com,,,,,,,,,,,,,FALSE,Outdoor seasonal rink in Eagle serving the Eagle Valley community. Between Vail and Glenwood Springs on I-70.
39,Big Mine Ice Arena,"620 2nd St, Crested Butte, CO 81224",Crested Butte,CO,81224,38.86718,-106.98693,Mountain,Outdoor,1,,concessions,,,Town parking lot nearby,0,,Check cbnordic.org for current rates,Contact CB Nordic Center,,,,https://www.cbnordic.org,,TRUE,,,,,,,,,,TRUE,,Natural non-refrigerated ice arena in the heart of Crested Butte. Managed by Crested Butte Nordic Center (next door). Skate rentals available at Nordic Center warming house. Active recreational and youth hockey Dec–March. Home to West Elk Hockey Association teams.
40,NedRINK,"500 Indian Peaks Dr, Nederland, CO 80466",Nederland,CO,80466,39.97259,-105.51787,Denver Metro,Outdoor,1,,,,,Nederland town parking,0,,Daily pass: $12 | Ned & Gilpin County residents: $10 | Check nedicerink.wixsite.com/nedrink for current rates,Available - check website for current rates,,,,https://nedicerink.wixsite.com/nedrink,,,,,,,,,,(720) 514-9624,,,FALSE,"Olympic-sized outdoor ice rink at Nederland Ice & Racquet Park - claims to be Colorado's largest outdoor ice rink. Non-profit organization staffed by volunteers, established 2005. Open daily Dec-Feb, weather permitting (check webcam on website). Programs: recreational skating, hockey leagues, curling, stick & puck, broomball, group/private lessons ($15/hr). Daily pass: $12 (Ned & Gilpin County residents: $10). Seasonal passes available. Near Frozen Dead Guy Days festival in March. Phone: 720-514-9624."
